epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.562,1.75388,2.15058,1.66061,0.43763,0.36207,0.33573,0.13305,1.71268,11.1217,1.57136,0.000555037,0.000555037,0.000555037
2,525.5,1.7892,1.99393,1.67163,0.41552,0.42073,0.35745,0.15731,1.61804,5.14125,1.5071,0.00107929,0.00107929,0.00107929
3,785.073,1.7366,1.89029,1.63264,0.54237,0.48399,0.50177,0.23048,1.51345,10.9239,1.38456,0.0015721,0.0015721,0.0015721
4,1040.42,1.6697,1.76023,1.5808,0.58912,0.50639,0.53846,0.25708,1.44047,3.44353,1.34483,0.00152554,0.00152554,0.00152554
5,1299.99,1.6164,1.65713,1.54278,0.59766,0.52961,0.5591,0.27499,1.40755,4.45074,1.31811,0.00147839,0.00147839,0.00147839
6,1554.89,1.57985,1.59031,1.51698,0.5873,0.52296,0.54046,0.26656,1.41564,3.36587,1.33976,0.00143124,0.00143124,0.00143124
7,1809.7,1.55585,1.55318,1.50468,0.63647,0.54162,0.58672,0.29609,1.38084,4.40358,1.30459,0.00138409,0.00138409,0.00138409
8,2067.6,1.52922,1.47572,1.48182,0.63637,0.58288,0.62417,0.32045,1.34019,2.90335,1.25828,0.00133693,0.00133693,0.00133693
9,2335.45,1.50322,1.44733,1.46345,0.65529,0.59249,0.64829,0.34043,1.31135,2.6399,1.24108,0.00128978,0.00128978,0.00128978
10,2602.95,1.48591,1.3933,1.44943,0.67742,0.61315,0.66794,0.35905,1.30697,2.96602,1.2253,0.00124263,0.00124263,0.00124263
11,2864.25,1.47079,1.37086,1.43661,0.67223,0.60058,0.66606,0.35397,1.31709,2.72292,1.23734,0.00119548,0.00119548,0.00119548
12,3125.45,1.46071,1.35864,1.43211,0.68403,0.60212,0.66293,0.35594,1.29601,2.05102,1.22421,0.00114832,0.00114832,0.00114832
13,3390.89,1.43901,1.30685,1.42288,0.66666,0.62113,0.67576,0.3592,1.31321,1.68933,1.22472,0.00110117,0.00110117,0.00110117
14,3651.25,1.42885,1.28588,1.41444,0.68787,0.63747,0.69085,0.37804,1.25852,2.83703,1.20446,0.00105402,0.00105402,0.00105402
15,3914.7,1.42253,1.27365,1.40333,0.70261,0.63906,0.70235,0.38858,1.25657,1.88364,1.18879,0.00100687,0.00100687,0.00100687
16,4177.1,1.40458,1.23528,1.39492,0.70854,0.65127,0.71056,0.40023,1.26258,1.52128,1.18906,0.000959716,0.000959716,0.000959716
17,4436.65,1.38688,1.2109,1.38443,0.69999,0.6689,0.72051,0.40545,1.23867,1.86366,1.17941,0.000912563,0.000912563,0.000912563
18,263.671,1.44109,1.32402,1.45232,0.71961,0.63851,0.7104,0.39093,1.26327,1.76835,1.21754,0.000865411,0.000865411,0.000865411
19,524.435,1.39312,1.21009,1.39794,0.70394,0.65259,0.72115,0.40687,1.23161,1.692,1.1868,0.000818259,0.000818259,0.000818259
20,783.595,1.37048,1.18165,1.38459,0.72789,0.64839,0.72664,0.4098,1.23325,1.95911,1.1886,0.000771107,0.000771107,0.000771107
21,1043.12,1.34532,1.14292,1.36596,0.74185,0.67043,0.73768,0.41859,1.23099,1.61221,1.18549,0.000723954,0.000723954,0.000723954
22,1302,1.33469,1.12252,1.3571,0.70572,0.69096,0.73769,0.42295,1.21658,1.6189,1.17075,0.000676802,0.000676802,0.000676802
23,1558.31,1.32109,1.08986,1.34907,0.72923,0.676,0.7422,0.42451,1.21865,1.75487,1.1769,0.00062965,0.00062965,0.00062965
24,1814.42,1.30086,1.07455,1.33779,0.73393,0.68112,0.7441,0.42544,1.2155,1.55664,1.1715,0.000582497,0.000582497,0.000582497
25,2072.64,1.28839,1.05198,1.32791,0.73828,0.68691,0.7527,0.43364,1.20972,1.48604,1.16082,0.000535345,0.000535345,0.000535345
26,2332.84,1.35424,1.03914,1.37911,0.74243,0.6849,0.75261,0.43484,1.20383,1.4833,1.16217,0.000488193,0.000488193,0.000488193
27,2599.05,1.32789,1.00928,1.36264,0.7577,0.67502,0.75378,0.43844,1.19836,1.27649,1.16763,0.000441041,0.000441041,0.000441041
28,2858.53,1.31554,0.97349,1.34887,0.75474,0.68526,0.75917,0.44173,1.19307,1.2988,1.15767,0.000393888,0.000393888,0.000393888
29,3121.34,1.29163,0.9426,1.33647,0.76764,0.68125,0.76313,0.44769,1.18943,1.31228,1.155,0.000346736,0.000346736,0.000346736
30,3381.21,1.26965,0.9045,1.31671,0.76304,0.69645,0.76834,0.45156,1.18446,1.24779,1.15462,0.000299584,0.000299584,0.000299584
31,3640.14,1.26125,0.88432,1.31099,0.75861,0.70749,0.76825,0.44927,1.19299,1.14697,1.16149,0.000252431,0.000252431,0.000252431
32,3901.06,1.24063,0.86405,1.30663,0.75924,0.7038,0.76809,0.45064,1.18304,1.14976,1.15535,0.000205279,0.000205279,0.000205279
33,4161.09,1.22641,0.84587,1.29373,0.76757,0.70111,0.76948,0.45288,1.18567,1.13713,1.16015,0.000158127,0.000158127,0.000158127
34,4422.56,1.20517,0.82528,1.27997,0.75742,0.71973,0.77131,0.45528,1.18557,1.12456,1.16087,0.000110975,0.000110975,0.000110975
35,4685.99,1.1915,0.80228,1.2681,0.76231,0.71846,0.77344,0.45641,1.18815,1.11125,1.16211,6.38223e-05,6.38223e-05,6.38223e-05
