epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8001,1.38581,2.71146,1.49895,0.5241,0.40144,0.41042,0.18345,1.77742,1.95571,1.76671,0.00023727,0.00023727,0.00023727
2,50.6383,1.31926,1.85674,1.45021,0.55663,0.50488,0.50921,0.23066,1.8847,1.78632,1.84276,0.00046586,0.00046586,0.00046586
3,70.233,1.26431,1.70538,1.41381,0.61392,0.48934,0.51577,0.21526,1.84171,1.67382,1.85,0.000685024,0.000685024,0.000685024
4,90.5201,1.24399,1.60408,1.38706,0.66029,0.50165,0.56768,0.27113,1.74012,1.60461,1.74809,0.000671588,0.000671588,0.000671588
5,112.136,1.22385,1.53649,1.36498,0.75643,0.50323,0.59786,0.2779,1.75427,1.54645,1.77675,0.000657451,0.000657451,0.000657451
6,134.803,1.20446,1.4667,1.34838,0.69338,0.57388,0.59167,0.26864,1.76078,1.46761,1.769,0.000643314,0.000643314,0.000643314
7,155.938,1.182,1.41607,1.33733,0.71079,0.5843,0.62872,0.2929,1.77625,1.42533,1.77582,0.000629177,0.000629177,0.000629177
8,174.912,1.16128,1.37007,1.32135,0.74977,0.54447,0.61905,0.30384,1.75053,1.36828,1.75196,0.00061504,0.00061504,0.00061504
9,196.778,1.1469,1.31866,1.30916,0.73709,0.58635,0.62837,0.31194,1.68071,1.31799,1.70755,0.000600902,0.000600902,0.000600902
10,216.158,1.13183,1.27739,1.29778,0.72623,0.56966,0.6407,0.30312,1.73903,1.32746,1.72513,0.000586765,0.000586765,0.000586765
11,236.529,1.12539,1.25404,1.29047,0.77412,0.57391,0.65045,0.30574,1.76604,1.35268,1.73405,0.000572628,0.000572628,0.000572628
12,259.616,1.11928,1.24401,1.28887,0.77904,0.55018,0.63682,0.30239,1.68201,1.334,1.68087,0.000558491,0.000558491,0.000558491
13,278.777,1.09018,1.20392,1.27566,0.74269,0.59129,0.6597,0.33656,1.63428,1.22296,1.67004,0.000544354,0.000544354,0.000544354
14,298.121,1.08761,1.17657,1.26791,0.78422,0.61129,0.66739,0.31778,1.70302,1.21102,1.7104,0.000530216,0.000530216,0.000530216
15,317.634,1.07343,1.15261,1.25911,0.78553,0.59484,0.66155,0.33782,1.6431,1.2564,1.6774,0.000516079,0.000516079,0.000516079
16,340.275,1.07545,1.14166,1.26167,0.79392,0.61289,0.66931,0.343,1.6288,1.21738,1.66133,0.000501942,0.000501942,0.000501942
17,360.003,1.07171,1.11848,1.2507,0.77994,0.63177,0.67072,0.32948,1.7034,1.20036,1.68293,0.000487805,0.000487805,0.000487805
18,379.652,1.06035,1.1077,1.24491,0.75955,0.61029,0.672,0.3318,1.64071,1.18362,1.65761,0.000473668,0.000473668,0.000473668
19,402.245,1.0589,1.07969,1.23478,0.78718,0.62435,0.68147,0.35633,1.55839,1.16348,1.59714,0.00045953,0.00045953,0.00045953
20,421.985,1.04315,1.07154,1.23824,0.80339,0.61172,0.68825,0.36166,1.63263,1.13326,1.64547,0.000445393,0.000445393,0.000445393
21,441.699,1.03249,1.04378,1.22262,0.80139,0.62178,0.69025,0.34829,1.67824,1.11557,1.71124,0.000431256,0.000431256,0.000431256
22,464.045,1.02873,1.03087,1.21801,0.81647,0.63653,0.70727,0.37047,1.59533,1.05711,1.63049,0.000417119,0.000417119,0.000417119
23,483.604,1.01608,1.02277,1.21214,0.8199,0.61896,0.68748,0.37216,1.57451,1.08419,1.61971,0.000402982,0.000402982,0.000402982
24,503.188,1.01759,1.0046,1.20831,0.84515,0.60923,0.68671,0.37572,1.53918,1.11042,1.57795,0.000388844,0.000388844,0.000388844
25,526.357,1.01468,0.99838,1.20685,0.78423,0.65207,0.70984,0.4094,1.47177,1.08502,1.51866,0.000374707,0.000374707,0.000374707
26,546.357,1.00288,0.96883,1.19934,0.84112,0.61911,0.70224,0.38569,1.51618,1.15005,1.56091,0.00036057,0.00036057,0.00036057
27,565.982,0.99123,0.96882,1.19224,0.87054,0.62319,0.71882,0.41434,1.42578,1.01621,1.48982,0.000346433,0.000346433,0.000346433
28,585.894,0.98394,0.94844,1.18855,0.85644,0.64303,0.72367,0.39633,1.53667,1.05997,1.5792,0.000332296,0.000332296,0.000332296
29,608.773,0.97581,0.93603,1.18607,0.84649,0.65315,0.73906,0.39282,1.56602,1.10245,1.62635,0.000318158,0.000318158,0.000318158
30,629.353,0.97502,0.9411,1.18164,0.85836,0.65578,0.73239,0.39565,1.55709,1.0261,1.59317,0.000304021,0.000304021,0.000304021
31,648.889,0.96139,0.91288,1.17452,0.85823,0.65034,0.73673,0.40658,1.54478,1.008,1.59842,0.000289884,0.000289884,0.000289884
32,671.511,0.95775,0.91537,1.17602,0.8017,0.68149,0.74905,0.41783,1.44323,0.97742,1.50159,0.000275747,0.000275747,0.000275747
33,691.794,0.94993,0.89533,1.16654,0.84385,0.67666,0.74621,0.42661,1.43067,0.96024,1.48271,0.00026161,0.00026161,0.00026161
34,712.308,0.95041,0.88529,1.16464,0.85195,0.6748,0.74722,0.42088,1.49566,0.95813,1.53721,0.000247472,0.000247472,0.000247472
35,732.134,0.92971,0.87777,1.15867,0.81328,0.68147,0.74953,0.43475,1.45001,0.9659,1.54361,0.000233335,0.000233335,0.000233335
36,754.867,0.93505,0.88046,1.15584,0.86686,0.65813,0.7478,0.41162,1.4501,0.94797,1.53439,0.000219198,0.000219198,0.000219198
37,774.373,0.92959,0.85942,1.15207,0.84746,0.66739,0.73533,0.42777,1.44532,0.98102,1.50714,0.000205061,0.000205061,0.000205061
38,794.154,0.92085,0.85032,1.14896,0.85233,0.67509,0.75087,0.41489,1.48803,0.95203,1.53108,0.000190924,0.000190924,0.000190924
39,817.125,0.92212,0.84419,1.15116,0.85778,0.67619,0.74769,0.42141,1.49807,0.97041,1.54018,0.000176786,0.000176786,0.000176786
40,836.839,0.91531,0.83658,1.14514,0.88694,0.68269,0.76327,0.43612,1.43118,0.92121,1.51328,0.000162649,0.000162649,0.000162649
41,858.861,0.94102,0.76864,1.15436,0.8308,0.69623,0.75574,0.4401,1.40995,0.91737,1.47697,0.000148512,0.000148512,0.000148512
42,880.268,0.91976,0.744,1.14573,0.89194,0.66796,0.76575,0.45339,1.41142,0.89169,1.48862,0.000134375,0.000134375,0.000134375
43,902.563,0.9152,0.73387,1.1378,0.87184,0.69136,0.7684,0.44792,1.42454,0.91027,1.51761,0.000120238,0.000120238,0.000120238
44,921.661,0.90444,0.71282,1.12944,0.86698,0.69583,0.77125,0.45185,1.42423,0.92345,1.51346,0.0001061,0.0001061,0.0001061
45,941.421,0.89549,0.70563,1.1284,0.8711,0.68899,0.76806,0.45338,1.39835,0.90691,1.47691,9.19632e-05,9.19632e-05,9.19632e-05
46,963.339,0.88887,0.70024,1.12259,0.87936,0.68245,0.76324,0.459,1.40415,0.89466,1.47488,7.7826e-05,7.7826e-05,7.7826e-05
47,982.656,0.8809,0.68891,1.11615,0.8802,0.67833,0.76197,0.45188,1.43611,0.8722,1.50629,6.36888e-05,6.36888e-05,6.36888e-05
48,1001.65,0.87199,0.68585,1.11719,0.89305,0.68495,0.77376,0.45792,1.38331,0.87072,1.44829,4.95516e-05,4.95516e-05,4.95516e-05
49,1023.83,0.86638,0.67445,1.10663,0.89695,0.6753,0.76368,0.45432,1.39673,0.88473,1.46557,3.54144e-05,3.54144e-05,3.54144e-05
50,1042.93,0.85952,0.67342,1.10606,0.89936,0.67069,0.76065,0.45792,1.37714,0.87102,1.45541,2.12772e-05,2.12772e-05,2.12772e-05
